"TIME_ID","DAY_NAME","DAY_NUMBER_IN_WEEK","DAY_NUMBER_IN_MONTH","CALENDAR_WEEK_NUMBER","CALENDAR_MONTH_NUMBER","CALENDAR_MONTH_DESC","END_OF_CAL_MONTH","CALENDAR_QUARTER_DESC","CALENDAR_YEAR"
10-MAR-98,"Tuesday",2,10,11,3,"1998-03",31-MAR-98,"1998-01",1998
11-MAR-98,"Wednesday",3,11,11,3,"1998-03",31-MAR-98,"1998-01",1998
12-MAR-98,"Thursday",4,12,11,3,"1998-03",31-MAR-98,"1998-01",1998
13-MAR-98,"Friday",5,13,11,3,"1998-03",31-MAR-98,"1998-01",1998
14-MAR-98,"Saturday",6,14,11,3,"1998-03",31-MAR-98,"1998-01",1998
15-MAR-98,"Sunday",7,15,11,3,"1998-03",31-MAR-98,"1998-01",1998
16-MAR-98,"Monday",1,16,12,3,"1998-03",31-MAR-98,"1998-01",1998
17-MAR-98,"Tuesday",2,17,12,3,"1998-03",31-MAR-98,"1998-01",1998
18-MAR-98,"Wednesday",3,18,12,3,"1998-03",31-MAR-98,"1998-01",1998
19-MAR-98,"Thursday",4,19,12,3,"1998-03",31-MAR-98,"1998-01",1998
20-MAR-98,"Friday",5,20,12,3,"1998-03",31-MAR-98,"1998-01",1998
21-MAR-98,"Saturday",6,21,12,3,"1998-03",31-MAR-98,"1998-01",1998
22-MAR-98,"Sunday",7,22,12,3,"1998-03",31-MAR-98,"1998-01",1998
23-MAR-98,"Monday",1,23,13,3,"1998-03",31-MAR-98,"1998-01",1998
24-MAR-98,"Tuesday",2,24,13,3,"1998-03",31-MAR-98,"1998-01",1998
25-MAR-98,"Wednesday",3,25,13,3,"1998-03",31-MAR-98,"1998-01",1998
26-MAR-98,"Thursday",4,26,13,3,"1998-03",31-MAR-98,"1998-01",1998
27-MAR-98,"Friday",5,27,13,3,"1998-03",31-MAR-98,"1998-01",1998
28-MAR-98,"Saturday",6,28,13,3,"1998-03",31-MAR-98,"1998-01",1998
29-MAR-98,"Sunday",7,29,13,3,"1998-03",31-MAR-98,"1998-01",1998
30-MAR-98,"Monday",1,30,14,3,"1998-03",31-MAR-98,"1998-01",1998
31-MAR-98,"Tuesday",2,31,14,3,"1998-03",31-MAR-98,"1998-01",1998
01-APR-98,"Wednesday",3,1,14,4,"1998-04",30-APR-98,"1998-02",1998
02-APR-98,"Thursday",4,2,14,4,"1998-04",30-APR-98,"1998-02",1998
03-APR-98,"Friday",5,3,14,4,"1998-04",30-APR-98,"1998-02",1998
04-APR-98,"Saturday",6,4,14,4,"1998-04",30-APR-98,"1998-02",1998
05-APR-98,"Sunday",7,5,14,4,"1998-04",30-APR-98,"1998-02",1998
06-APR-98,"Monday",1,6,15,4,"1998-04",30-APR-98,"1998-02",1998
07-APR-98,"Tuesday",2,7,15,4,"1998-04",30-APR-98,"1998-02",1998
08-APR-98,"Wednesday",3,8,15,4,"1998-04",30-APR-98,"1998-02",1998
09-APR-98,"Thursday",4,9,15,4,"1998-04",30-APR-98,"1998-02",1998
10-APR-98,"Friday",5,10,15,4,"1998-04",30-APR-98,"1998-02",1998
11-APR-98,"Saturday",6,11,15,4,"1998-04",30-APR-98,"1998-02",1998
12-APR-98,"Sunday",7,12,15,4,"1998-04",30-APR-98,"1998-02",1998
13-APR-98,"Monday",1,13,16,4,"1998-04",30-APR-98,"1998-02",1998
14-APR-98,"Tuesday",2,14,16,4,"1998-04",30-APR-98,"1998-02",1998
15-APR-98,"Wednesday",3,15,16,4,"1998-04",30-APR-98,"1998-02",1998
16-APR-98,"Thursday",4,16,16,4,"1998-04",30-APR-98,"1998-02",1998
17-APR-98,"Friday",5,17,16,4,"1998-04",30-APR-98,"1998-02",1998
18-APR-98,"Saturday",6,18,16,4,"1998-04",30-APR-98,"1998-02",1998
19-APR-98,"Sunday",7,19,16,4,"1998-04",30-APR-98,"1998-02",1998
20-APR-98,"Monday",1,20,17,4,"1998-04",30-APR-98,"1998-02",1998
21-APR-98,"Tuesday",2,21,17,4,"1998-04",30-APR-98,"1998-02",1998
22-APR-98,"Wednesday",3,22,17,4,"1998-04",30-APR-98,"1998-02",1998
23-APR-98,"Thursday",4,23,17,4,"1998-04",30-APR-98,"1998-02",1998
24-APR-98,"Friday",5,24,17,4,"1998-04",30-APR-98,"1998-02",1998
25-APR-98,"Saturday",6,25,17,4,"1998-04",30-APR-98,"1998-02",1998
26-APR-98,"Sunday",7,26,17,4,"1998-04",30-APR-98,"1998-02",1998
27-APR-98,"Monday",1,27,18,4,"1998-04",30-APR-98,"1998-02",1998
28-APR-98,"Tuesday",2,28,18,4,"1998-04",30-APR-98,"1998-02",1998
29-APR-98,"Wednesday",3,29,18,4,"1998-04",30-APR-98,"1998-02",1998
30-APR-98,"Thursday",4,30,18,4,"1998-04",30-APR-98,"1998-02",1998
01-MAY-98,"Friday",5,1,18,5,"1998-05",31-MAY-98,"1998-02",1998
02-MAY-98,"Saturday",6,2,18,5,"1998-05",31-MAY-98,"1998-02",1998
03-MAY-98,"Sunday",7,3,18,5,"1998-05",31-MAY-98,"1998-02",1998
04-MAY-98,"Monday",1,4,19,5,"1998-05",31-MAY-98,"1998-02",1998
05-MAY-98,"Tuesday",2,5,19,5,"1998-05",31-MAY-98,"1998-02",1998
06-MAY-98,"Wednesday",3,6,19,5,"1998-05",31-MAY-98,"1998-02",1998
07-MAY-98,"Thursday",4,7,19,5,"1998-05",31-MAY-98,"1998-02",1998
08-MAY-98,"Friday",5,8,19,5,"1998-05",31-MAY-98,"1998-02",1998
09-MAY-98,"Saturday",6,9,19,5,"1998-05",31-MAY-98,"1998-02",1998
10-MAY-98,"Sunday",7,10,19,5,"1998-05",31-MAY-98,"1998-02",1998
11-MAY-98,"Monday",1,11,20,5,"1998-05",31-MAY-98,"1998-02",1998
12-MAY-98,"Tuesday",2,12,20,5,"1998-05",31-MAY-98,"1998-02",1998
13-MAY-98,"Wednesday",3,13,20,5,"1998-05",31-MAY-98,"1998-02",1998
14-MAY-98,"Thursday",4,14,20,5,"1998-05",31-MAY-98,"1998-02",1998
15-MAY-98,"Friday",5,15,20,5,"1998-05",31-MAY-98,"1998-02",1998
16-MAY-98,"Saturday",6,16,20,5,"1998-05",31-MAY-98,"1998-02",1998
17-MAY-98,"Sunday",7,17,20,5,"1998-05",31-MAY-98,"1998-02",1998
18-MAY-98,"Monday",1,18,21,5,"1998-05",31-MAY-98,"1998-02",1998
19-MAY-98,"Tuesday",2,19,21,5,"1998-05",31-MAY-98,"1998-02",1998
20-MAY-98,"Wednesday",3,20,21,5,"1998-05",31-MAY-98,"1998-02",1998
21-MAY-98,"Thursday",4,21,21,5,"1998-05",31-MAY-98,"1998-02",1998
22-MAY-98,"Friday",5,22,21,5,"1998-05",31-MAY-98,"1998-02",1998
23-MAY-98,"Saturday",6,23,21,5,"1998-05",31-MAY-98,"1998-02",1998
24-MAY-98,"Sunday",7,24,21,5,"1998-05",31-MAY-98,"1998-02",1998
25-MAY-98,"Monday",1,25,22,5,"1998-05",31-MAY-98,"1998-02",1998
26-MAY-98,"Tuesday",2,26,22,5,"1998-05",31-MAY-98,"1998-02",1998
27-MAY-98,"Wednesday",3,27,22,5,"1998-05",31-MAY-98,"1998-02",1998
28-MAY-98,"Thursday",4,28,22,5,"1998-05",31-MAY-98,"1998-02",1998
29-MAY-98,"Friday",5,29,22,5,"1998-05",31-MAY-98,"1998-02",1998
30-MAY-98,"Saturday",6,30,22,5,"1998-05",31-MAY-98,"1998-02",1998
31-MAY-98,"Sunday",7,31,22,5,"1998-05",31-MAY-98,"1998-02",1998
01-JUN-98,"Monday",1,1,23,6,"1998-06",30-JUN-98,"1998-02",1998
02-JUN-98,"Tuesday",2,2,23,6,"1998-06",30-JUN-98,"1998-02",1998
03-JUN-98,"Wednesday",3,3,23,6,"1998-06",30-JUN-98,"1998-02",1998
04-JUN-98,"Thursday",4,4,23,6,"1998-06",30-JUN-98,"1998-02",1998
05-JUN-98,"Friday",5,5,23,6,"1998-06",30-JUN-98,"1998-02",1998
06-JUN-98,"Saturday",6,6,23,6,"1998-06",30-JUN-98,"1998-02",1998
07-JUN-98,"Sunday",7,7,23,6,"1998-06",30-JUN-98,"1998-02",1998
08-JUN-98,"Monday",1,8,24,6,"1998-06",30-JUN-98,"1998-02",1998
09-JUN-98,"Tuesday",2,9,24,6,"1998-06",30-JUN-98,"1998-02",1998
10-JUN-98,"Wednesday",3,10,24,6,"1998-06",30-JUN-98,"1998-02",1998
11-JUN-98,"Thursday",4,11,24,6,"1998-06",30-JUN-98,"1998-02",1998
12-JUN-98,"Friday",5,12,24,6,"1998-06",30-JUN-98,"1998-02",1998
13-JUN-98,"Saturday",6,13,24,6,"1998-06",30-JUN-98,"1998-02",1998
14-JUN-98,"Sunday",7,14,24,6,"1998-06",30-JUN-98,"1998-02",1998
15-JUN-98,"Monday",1,15,25,6,"1998-06",30-JUN-98,"1998-02",1998
16-JUN-98,"Tuesday",2,16,25,6,"1998-06",30-JUN-98,"1998-02",1998
17-JUN-98,"Wednesday",3,17,25,6,"1998-06",30-JUN-98,"1998-02",1998
18-JUN-98,"Thursday",4,18,25,6,"1998-06",30-JUN-98,"1998-02",1998
19-JUN-98,"Friday",5,19,25,6,"1998-06",30-JUN-98,"1998-02",1998
20-JUN-98,"Saturday",6,20,25,6,"1998-06",30-JUN-98,"1998-02",1998
21-JUN-98,"Sunday",7,21,25,6,"1998-06",30-JUN-98,"1998-02",1998
22-JUN-98,"Monday",1,22,26,6,"1998-06",30-JUN-98,"1998-02",1998
23-JUN-98,"Tuesday",2,23,26,6,"1998-06",30-JUN-98,"1998-02",1998
24-JUN-98,"Wednesday",3,24,26,6,"1998-06",30-JUN-98,"1998-02",1998
25-JUN-98,"Thursday",4,25,26,6,"1998-06",30-JUN-98,"1998-02",1998
26-JUN-98,"Friday",5,26,26,6,"1998-06",30-JUN-98,"1998-02",1998
27-JUN-98,"Saturday",6,27,26,6,"1998-06",30-JUN-98,"1998-02",1998
28-JUN-98,"Sunday",7,28,26,6,"1998-06",30-JUN-98,"1998-02",1998
29-JUN-98,"Monday",1,29,27,6,"1998-06",30-JUN-98,"1998-02",1998
30-JUN-98,"Tuesday",2,30,27,6,"1998-06",30-JUN-98,"1998-02",1998
01-JUL-98,"Wednesday",3,1,27,7,"1998-07",31-JUL-98,"1998-03",1998
02-JUL-98,"Thursday",4,2,27,7,"1998-07",31-JUL-98,"1998-03",1998
03-JUL-98,"Friday",5,3,27,7,"1998-07",31-JUL-98,"1998-03",1998
04-JUL-98,"Saturday",6,4,27,7,"1998-07",31-JUL-98,"1998-03",1998
05-JUL-98,"Sunday",7,5,27,7,"1998-07",31-JUL-98,"1998-03",1998
06-JUL-98,"Monday",1,6,28,7,"1998-07",31-JUL-98,"1998-03",1998
07-JUL-98,"Tuesday",2,7,28,7,"1998-07",31-JUL-98,"1998-03",1998
08-JUL-98,"Wednesday",3,8,28,7,"1998-07",31-JUL-98,"1998-03",1998
09-JUL-98,"Thursday",4,9,28,7,"1998-07",31-JUL-98,"1998-03",1998
10-JUL-98,"Friday",5,10,28,7,"1998-07",31-JUL-98,"1998-03",1998
11-JUL-98,"Saturday",6,11,28,7,"1998-07",31-JUL-98,"1998-03",1998
12-JUL-98,"Sunday",7,12,28,7,"1998-07",31-JUL-98,"1998-03",1998
13-JUL-98,"Monday",1,13,29,7,"1998-07",31-JUL-98,"1998-03",1998
14-JUL-98,"Tuesday",2,14,29,7,"1998-07",31-JUL-98,"1998-03",1998
15-JUL-98,"Wednesday",3,15,29,7,"1998-07",31-JUL-98,"1998-03",1998
16-JUL-98,"Thursday",4,16,29,7,"1998-07",31-JUL-98,"1998-03",1998
17-JUL-98,"Friday",5,17,29,7,"1998-07",31-JUL-98,"1998-03",1998
18-JUL-98,"Saturday",6,18,29,7,"1998-07",31-JUL-98,"1998-03",1998
19-JUL-98,"Sunday",7,19,29,7,"1998-07",31-JUL-98,"1998-03",1998
20-JUL-98,"Monday",1,20,30,7,"1998-07",31-JUL-98,"1998-03",1998
21-JUL-98,"Tuesday",2,21,30,7,"1998-07",31-JUL-98,"1998-03",1998
22-JUL-98,"Wednesday",3,22,30,7,"1998-07",31-JUL-98,"1998-03",1998
23-JUL-98,"Thursday",4,23,30,7,"1998-07",31-JUL-98,"1998-03",1998
24-JUL-98,"Friday",5,24,30,7,"1998-07",31-JUL-98,"1998-03",1998
25-JUL-98,"Saturday",6,25,30,7,"1998-07",31-JUL-98,"1998-03",1998
26-JUL-98,"Sunday",7,26,30,7,"1998-07",31-JUL-98,"1998-03",1998
27-JUL-98,"Monday",1,27,31,7,"1998-07",31-JUL-98,"1998-03",1998
28-JUL-98,"Tuesday",2,28,31,7,"1998-07",31-JUL-98,"1998-03",1998
29-JUL-98,"Wednesday",3,29,31,7,"1998-07",31-JUL-98,"1998-03",1998
30-JUL-98,"Thursday",4,30,31,7,"1998-07",31-JUL-98,"1998-03",1998
31-JUL-98,"Friday",5,31,31,7,"1998-07",31-JUL-98,"1998-03",1998
01-AUG-98,"Saturday",6,1,31,8,"1998-08",31-AUG-98,"1998-03",1998
02-AUG-98,"Sunday",7,2,31,8,"1998-08",31-AUG-98,"1998-03",1998
03-AUG-98,"Monday",1,3,32,8,"1998-08",31-AUG-98,"1998-03",1998
04-AUG-98,"Tuesday",2,4,32,8,"1998-08",31-AUG-98,"1998-03",1998
05-AUG-98,"Wednesday",3,5,32,8,"1998-08",31-AUG-98,"1998-03",1998
06-AUG-98,"Thursday",4,6,32,8,"1998-08",31-AUG-98,"1998-03",1998
07-AUG-98,"Friday",5,7,32,8,"1998-08",31-AUG-98,"1998-03",1998
08-AUG-98,"Saturday",6,8,32,8,"1998-08",31-AUG-98,"1998-03",1998
09-AUG-98,"Sunday",7,9,32,8,"1998-08",31-AUG-98,"1998-03",1998
10-AUG-98,"Monday",1,10,33,8,"1998-08",31-AUG-98,"1998-03",1998
11-AUG-98,"Tuesday",2,11,33,8,"1998-08",31-AUG-98,"1998-03",1998
12-AUG-98,"Wednesday",3,12,33,8,"1998-08",31-AUG-98,"1998-03",1998
13-AUG-98,"Thursday",4,13,33,8,"1998-08",31-AUG-98,"1998-03",1998
14-AUG-98,"Friday",5,14,33,8,"1998-08",31-AUG-98,"1998-03",1998
15-AUG-98,"Saturday",6,15,33,8,"1998-08",31-AUG-98,"1998-03",1998
16-AUG-98,"Sunday",7,16,33,8,"1998-08",31-AUG-98,"1998-03",1998
17-AUG-98,"Monday",1,17,34,8,"1998-08",31-AUG-98,"1998-03",1998
18-AUG-98,"Tuesday",2,18,34,8,"1998-08",31-AUG-98,"1998-03",1998
19-AUG-98,"Wednesday",3,19,34,8,"1998-08",31-AUG-98,"1998-03",1998
20-AUG-98,"Thursday",4,20,34,8,"1998-08",31-AUG-98,"1998-03",1998
21-AUG-98,"Friday",5,21,34,8,"1998-08",31-AUG-98,"1998-03",1998
22-AUG-98,"Saturday",6,22,34,8,"1998-08",31-AUG-98,"1998-03",1998
23-AUG-98,"Sunday",7,23,34,8,"1998-08",31-AUG-98,"1998-03",1998
24-AUG-98,"Monday",1,24,35,8,"1998-08",31-AUG-98,"1998-03",1998
25-AUG-98,"Tuesday",2,25,35,8,"1998-08",31-AUG-98,"1998-03",1998
26-AUG-98,"Wednesday",3,26,35,8,"1998-08",31-AUG-98,"1998-03",1998
27-AUG-98,"Thursday",4,27,35,8,"1998-08",31-AUG-98,"1998-03",1998
28-AUG-98,"Friday",5,28,35,8,"1998-08",31-AUG-98,"1998-03",1998
29-AUG-98,"Saturday",6,29,35,8,"1998-08",31-AUG-98,"1998-03",1998
30-AUG-98,"Sunday",7,30,35,8,"1998-08",31-AUG-98,"1998-03",1998
31-AUG-98,"Monday",1,31,36,8,"1998-08",31-AUG-98,"1998-03",1998
01-SEP-98,"Tuesday",2,1,36,9,"1998-09",30-SEP-98,"1998-03",1998
02-SEP-98,"Wednesday",3,2,36,9,"1998-09",30-SEP-98,"1998-03",1998
03-SEP-98,"Thursday",4,3,36,9,"1998-09",30-SEP-98,"1998-03",1998
04-SEP-98,"Friday",5,4,36,9,"1998-09",30-SEP-98,"1998-03",1998
05-SEP-98,"Saturday",6,5,36,9,"1998-09",30-SEP-98,"1998-03",1998
06-SEP-98,"Sunday",7,6,36,9,"1998-09",30-SEP-98,"1998-03",1998
07-SEP-98,"Monday",1,7,37,9,"1998-09",30-SEP-98,"1998-03",1998
08-SEP-98,"Tuesday",2,8,37,9,"1998-09",30-SEP-98,"1998-03",1998
09-SEP-98,"Wednesday",3,9,37,9,"1998-09",30-SEP-98,"1998-03",1998
10-SEP-98,"Thursday",4,10,37,9,"1998-09",30-SEP-98,"1998-03",1998
11-SEP-98,"Friday",5,11,37,9,"1998-09",30-SEP-98,"1998-03",1998
12-SEP-98,"Saturday",6,12,37,9,"1998-09",30-SEP-98,"1998-03",1998
13-SEP-98,"Sunday",7,13,37,9,"1998-09",30-SEP-98,"1998-03",1998
14-SEP-98,"Monday",1,14,38,9,"1998-09",30-SEP-98,"1998-03",1998
15-SEP-98,"Tuesday",2,15,38,9,"1998-09",30-SEP-98,"1998-03",1998
16-SEP-98,"Wednesday",3,16,38,9,"1998-09",30-SEP-98,"1998-03",1998
17-SEP-98,"Thursday",4,17,38,9,"1998-09",30-SEP-98,"1998-03",1998
18-SEP-98,"Friday",5,18,38,9,"1998-09",30-SEP-98,"1998-03",1998
19-SEP-98,"Saturday",6,19,38,9,"1998-09",30-SEP-98,"1998-03",1998
20-SEP-98,"Sunday",7,20,38,9,"1998-09",30-SEP-98,"1998-03",1998
21-SEP-98,"Monday",1,21,39,9,"1998-09",30-SEP-98,"1998-03",1998
22-SEP-98,"Tuesday",2,22,39,9,"1998-09",30-SEP-98,"1998-03",1998
23-SEP-98,"Wednesday",3,23,39,9,"1998-09",30-SEP-98,"1998-03",1998
24-SEP-98,"Thursday",4,24,39,9,"1998-09",30-SEP-98,"1998-03",1998
25-SEP-98,"Friday",5,25,39,9,"1998-09",30-SEP-98,"1998-03",1998
26-SEP-98,"Saturday",6,26,39,9,"1998-09",30-SEP-98,"1998-03",1998
27-SEP-98,"Sunday",7,27,39,9,"1998-09",30-SEP-98,"1998-03",1998
28-SEP-98,"Monday",1,28,40,9,"1998-09",30-SEP-98,"1998-03",1998
29-SEP-98,"Tuesday",2,29,40,9,"1998-09",30-SEP-98,"1998-03",1998
30-SEP-98,"Wednesday",3,30,40,9,"1998-09",30-SEP-98,"1998-03",1998
01-OCT-98,"Thursday",4,1,40,10,"1998-10",31-OCT-98,"1998-04",1998
02-OCT-98,"Friday",5,2,40,10,"1998-10",31-OCT-98,"1998-04",1998
03-OCT-98,"Saturday",6,3,40,10,"1998-10",31-OCT-98,"1998-04",1998
04-OCT-98,"Sunday",7,4,40,10,"1998-10",31-OCT-98,"1998-04",1998
05-OCT-98,"Monday",1,5,41,10,"1998-10",31-OCT-98,"1998-04",1998
06-OCT-98,"Tuesday",2,6,41,10,"1998-10",31-OCT-98,"1998-04",1998
07-OCT-98,"Wednesday",3,7,41,10,"1998-10",31-OCT-98,"1998-04",1998
08-OCT-98,"Thursday",4,8,41,10,"1998-10",31-OCT-98,"1998-04",1998
09-OCT-98,"Friday",5,9,41,10,"1998-10",31-OCT-98,"1998-04",1998
10-OCT-98,"Saturday",6,10,41,10,"1998-10",31-OCT-98,"1998-04",1998
11-OCT-98,"Sunday",7,11,41,10,"1998-10",31-OCT-98,"1998-04",1998
12-OCT-98,"Monday",1,12,42,10,"1998-10",31-OCT-98,"1998-04",1998
13-OCT-98,"Tuesday",2,13,42,10,"1998-10",31-OCT-98,"1998-04",1998
14-OCT-98,"Wednesday",3,14,42,10,"1998-10",31-OCT-98,"1998-04",1998
15-OCT-98,"Thursday",4,15,42,10,"1998-10",31-OCT-98,"1998-04",1998
16-OCT-98,"Friday",5,16,42,10,"1998-10",31-OCT-98,"1998-04",1998
17-OCT-98,"Saturday",6,17,42,10,"1998-10",31-OCT-98,"1998-04",1998
18-OCT-98,"Sunday",7,18,42,10,"1998-10",31-OCT-98,"1998-04",1998
19-OCT-98,"Monday",1,19,43,10,"1998-10",31-OCT-98,"1998-04",1998
20-OCT-98,"Tuesday",2,20,43,10,"1998-10",31-OCT-98,"1998-04",1998
21-OCT-98,"Wednesday",3,21,43,10,"1998-10",31-OCT-98,"1998-04",1998
22-OCT-98,"Thursday",4,22,43,10,"1998-10",31-OCT-98,"1998-04",1998
23-OCT-98,"Friday",5,23,43,10,"1998-10",31-OCT-98,"1998-04",1998
24-OCT-98,"Saturday",6,24,43,10,"1998-10",31-OCT-98,"1998-04",1998
25-OCT-98,"Sunday",7,25,43,10,"1998-10",31-OCT-98,"1998-04",1998
26-OCT-98,"Monday",1,26,44,10,"1998-10",31-OCT-98,"1998-04",1998
27-OCT-98,"Tuesday",2,27,44,10,"1998-10",31-OCT-98,"1998-04",1998
28-OCT-98,"Wednesday",3,28,44,10,"1998-10",31-OCT-98,"1998-04",1998
29-OCT-98,"Thursday",4,29,44,10,"1998-10",31-OCT-98,"1998-04",1998
30-OCT-98,"Friday",5,30,44,10,"1998-10",31-OCT-98,"1998-04",1998
31-OCT-98,"Saturday",6,31,44,10,"1998-10",31-OCT-98,"1998-04",1998
01-NOV-98,"Sunday",7,1,44,11,"1998-11",30-NOV-98,"1998-04",1998
