"PROD_ID","PROD_NAME","PROD_DESC","PROD_CATEGORY","PROD_CATEGORY_ID","PROD_CATEGORY_DESC","PROD_WEIGHT_CLASS","SUPPLIER_ID","PROD_STATUS","PROD_LIST_PRICE","PROD_MIN_PRICE"
26,"SIMM- 16MB PCMCIAII card","SIMM- 16MB PCMCIAII card","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",149.99,149.99
27,"Multimedia speakers- 3"" cones","Multimedia speakers- 3"" cones","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",44.99,44.99
28,"Unix/Windows 1-user pack","Unix/Windows 1-user pack","Software/Other",205,"Software/Other",1,1,"STATUS",199.99,199.99
29,"8.3 Minitower Speaker","8.3 Minitower Speaker","Electronics",201,"Electronics",1,1,"STATUS",499.99,499.99
30,"Mouse Pad","Mouse Pad","Software/Other",205,"Software/Other",1,1,"STATUS",9.99,9.99
31,"1.44MB External 3.5"" Diskette","1.44MB External 3.5"" Diskette","Software/Other",205,"Software/Other",1,1,"STATUS",8.99,8.99
32,"Multimedia speakers- 5"" cones","Multimedia speakers- 5"" cones","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",67.99,67.99
33,"PCMCIA modem/fax 19200 baud","PCMCIA modem/fax 19200 baud","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",44.99,44.99
34,"External 6X CD-ROM","External 6X CD-ROM","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",39.99,39.99
35,"External 8X CD-ROM","External 8X CD-ROM","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",49.99,49.99
36,"Envoy External 6X CD-ROM","Envoy External 6X CD-ROM","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",44.99,44.99
37,"Envoy External 8X CD-ROM","Envoy External 8X CD-ROM","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",54.99,54.99
38,"Internal 6X CD-ROM","Internal 6X CD-ROM","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",29.99,29.99
39,"Internal 8X CD-ROM","Internal 8X CD-ROM","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",34.99,34.99
40,"O/S Documentation Set - English","O/S Documentation Set - English","Software/Other",205,"Software/Other",1,1,"STATUS",44.99,44.99
41,"O/S Documentation Set - German","O/S Documentation Set - German","Software/Other",205,"Software/Other",1,1,"STATUS",44.99,44.99
42,"O/S Documentation Set - French","O/S Documentation Set - French","Software/Other",205,"Software/Other",1,1,"STATUS",44.99,44.99
43,"O/S Documentation Set - Spanish","O/S Documentation Set - Spanish","Software/Other",205,"Software/Other",1,1,"STATUS",44.99,44.99
44,"O/S Documentation Set - Italian","O/S Documentation Set - Italian","Software/Other",205,"Software/Other",1,1,"STATUS",44.99,44.99
45,"O/S Documentation Set - Kanji","O/S Documentation Set - Kanji","Software/Other",205,"Software/Other",1,1,"STATUS",44.99,44.99
46,"Standard Mouse","Standard Mouse","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",22.99,22.99
47,"Deluxe Mouse","Deluxe Mouse","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",28.99,28.99
48,"Keyboard Wrist Rest","Keyboard Wrist Rest","Software/Other",205,"Software/Other",1,1,"STATUS",11.99,11.99
113,"CD-R Mini Discs","CD-R Mini Discs with Jewel Case, 185MB, Pack of 5","Software/Other",205,"Software/Other",1,1,"STATUS",22.99,22.99
114,"Music CD-R","Music CD-R with Spindle, 700MB, Pack of 30","Software/Other",205,"Software/Other",1,1,"STATUS",18.99,18.99
115,"CD-RW, High Speed, Pack of 10","CD-RW, High Speed, Pack of 10","Software/Other",205,"Software/Other",1,1,"STATUS",8.99,8.99
116,"CD-RW, High Speed Pack of 5","CD-RW, High Speed 650MB/74 Minutes, Pack of 5","Software/Other",205,"Software/Other",1,1,"STATUS",11.99,11.99
117,"CD-R, Professional Grade, Pack of 10","CD-R, Professional Grade, Pack of 10","Software/Other",205,"Software/Other",1,1,"STATUS",8.99,8.99
118,"OraMusic CD-R, Pack of 10","OraMusic CD-R, Pack of 10","Software/Other",205,"Software/Other",1,1,"STATUS",7.99,7.99
119,"CD-R with Jewel Cases, pACK OF 12","CD-R with Jewel Cases, 700MB/80 Minutes, Pack of 12","Software/Other",205,"Software/Other",1,1,"STATUS",6.99,6.99
120,"DVD-R Disc with Jewel Case, 4.7 GB","DVD-R Disc with Jewel Case, 4.7 GB","Software/Other",205,"Software/Other",1,1,"STATUS",6.99,6.99
121,"DVD-RAM Jewel Case, Double-Sided, 9.4G","DVD-RAM Media, with Jewel Case, Double-Sided, 9.4GB","Software/Other",205,"Software/Other",1,1,"STATUS",10.99,10.99
122,"DVD-R Discs, 4.7GB, Pack of 5","DVD-R Discs, 4.7GB, Pack of 5","Software/Other",205,"Software/Other",1,1,"STATUS",18.99,18.99
123,"DVD-R Discs, 4.7GB, Pack of 5","DVD-R Discs, 4.7GB, Pack of 5","Software/Other",205,"Software/Other",1,1,"STATUS",49.99,49.99
124,"DVD-RW Discs, 4.7GB, Pack of 3","DVD-RW Discs, 4.7GB, Pack of 3","Software/Other",205,"Software/Other",1,1,"STATUS",18.99,18.99
125,"3 1/2"" Bulk diskettes, Box of 50","3 1/2"" Bulk diskettes, Box of 50","Software/Other",205,"Software/Other",1,1,"STATUS",15.99,15.99
126,"3 1/2"" Bulk diskettes, Box of 100","3 1/2"" Bulk diskettes, Box of 100","Software/Other",205,"Software/Other",1,1,"STATUS",28.99,28.99
127,"Model CD13272 Tricolor Ink Cartridge","Model CD13272 Tricolor Ink Cartridge","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",36.99,36.99
128,"Model SM26273 Black Ink Cartridge","Model SM26273 Black Ink Cartridge","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",27.99,27.99
129,"Model NM500X High Yield Toner Cartridge","Model NM500X High Yield Toner Cartridge","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",192.99,192.99
130,"Model A3827H Black Image Cartridge","Model A3827H Black Image Cartridge","Peripherals and Accessories",203,"Peripherals and Accessories",1,1,"STATUS",89.99,89.99
131,"Model K3822L Cordless Phone Battery","Model K3822L Cordless Phone Battery","Photo",204,"Photo",1,1,"STATUS",18.99,18.99
132,"Model C9827B Cordless Phone Battery","Model C9827B Cordless Phone Battery","Photo",204,"Photo",1,1,"STATUS",24.99,24.99
133,"Model K8822S Cordless Phone Battery","Model K8822S Cordless Phone Battery","Photo",204,"Photo",1,1,"STATUS",30.99,30.99
134,"Model C93822D Wireless Phone Battery","Model C93822D Wireless Phone Battery","Photo",204,"Photo",1,1,"STATUS",20.99,20.99
135,"S27273M Extended Use w/l Phone Batt.","Model S27273M Extended Use Wireless Phone Battery","Photo",204,"Photo",1,1,"STATUS",49.99,49.99
136,"64MB Memory Card","64MB Memory Card","Photo",204,"Photo",1,1,"STATUS",32.99,32.99
137,"128MB Memory Card","128MB Memory Card","Photo",204,"Photo",1,1,"STATUS",52.99,52.99
138,"256MB Memory Card","256MB Memory Card","Photo",204,"Photo",1,1,"STATUS",69.99,69.99
139,"Bounce","Bounce","Electronics",201,"Electronics",4,1,"STATUS",19.99,19.99
140,"Endurance Racing","Endurance Racing","Electronics",201,"Electronics",1,1,"STATUS",29.99,29.99
141,"Smash up Boxing","Smash up Boxing","Electronics",201,"Electronics",1,1,"STATUS",29.99,29.99
142,"Martial Arts Champions","Martial Arts Champions","Electronics",201,"Electronics",1,1,"STATUS",19.99,19.99
143,"Comic Book Heroes","Comic Book Heroes","Electronics",201,"Electronics",1,1,"STATUS",19.99,19.99
144,"Fly Fishing","Fly Fishing","Electronics",201,"Electronics",1,1,"STATUS",7.99,7.99
145,"Finding Fido","Finding Fido","Electronics",201,"Electronics",1,1,"STATUS",12.99,12.99
146,"Adventures with Numbers","Adventures with Numbers","Electronics",201,"Electronics",1,1,"STATUS",11.99,11.99
147,"Extension Cable","Extension Cable","Electronics",201,"Electronics",1,1,"STATUS",7.99,7.99
148,"Xtend Memory","Xtend Memory","Electronics",201,"Electronics",1,1,"STATUS",20.99,20.99
