"PROMO_ID","PROMO_NAME","PROMO_COST","PROMO_BEGIN_DATE","PROMO_END_DATE"
94,"TV promotion #13-94",10600,09-OCT-99,09-JAN-00
350,"internet promotion #29-350",10700,27-JAN-99,27-APR-99
329,"TV promotion #13-329",10800,04-NOV-98,04-JAN-99
155,"internet promotion #29-155",10900,07-AUG-00,07-SEP-00
172,"TV promotion #12-172",11400,26-MAY-00,26-JUN-00
98,"magazine promotion #26-98",11500,13-FEB-00,13-MAR-00
46,"post promotion #17-46",11600,05-SEP-98,05-NOV-98
203,"flyer promotion #22-203",11700,17-JUL-98,17-SEP-98
238,"newspaper promotion #16-238",11800,26-MAY-00,26-JUN-00
447,"TV promotion #13-447",12300,05-APR-99,05-JUL-99
429,"internet promotion #14-429",12500,04-JUL-98,04-SEP-98
237,"newspaper promotion #19-237",12700,30-MAR-99,30-JUN-99
438,"newspaper promotion #16-438",12800,26-MAY-00,26-JUN-00
229,"TV promotion #13-229",13100,04-JUL-98,04-SEP-98
183,"internet promotion #29-183",13200,10-NOV-98,10-JAN-99
320,"magazine promotion #26-320",13700,24-OCT-99,24-JAN-00
143,"TV promotion #30-143",14000,19-MAR-99,19-JUN-99
156,"newspaper promotion #27-156",14100,01-NOV-98,01-JAN-99
55,"post promotion #21-55",14300,01-DEC-00,01-JAN-01
444,"internet promotion #29-444",14400,21-FEB-00,21-MAR-00
188,"internet promotion #29-188",14700,07-DEC-00,07-JAN-01
50,"internet promotion #25-50",14900,27-NOV-98,27-JAN-99
106,"TV promotion #13-106",15000,11-JUN-98,11-AUG-98
104,"flyer promotion #22-104",15100,30-MAR-99,30-JUN-99
288,"TV promotion #13-288",15200,07-AUG-00,07-SEP-00
70,"magazine promotion #26-70",15500,08-JUL-98,08-SEP-98
319,"flyer promotion #23-319",15600,20-JUN-98,20-AUG-98
359,"flyer promotion #23-359",15800,02-JUN-98,02-AUG-98
218,"TV promotion #13-218",15900,12-FEB-00,12-MAR-00
260,"post promotion #20-260",16100,02-SEP-98,02-NOV-98
451,"TV promotion #13-451",16200,12-MAY-00,12-JUN-00
205,"TV promotion #13-205",16300,26-FEB-00,26-MAR-00
193,"TV promotion #13-193",16900,02-SEP-98,02-NOV-98
295,"radio promotion #32-295",17100,28-DEC-00,28-JAN-01
73,"radio promotion #32-73",17300,11-SEP-98,11-NOV-98
171,"post promotion #20-171",17400,30-MAR-99,30-JUN-99
299,"internet promotion #29-299",17600,25-SEP-98,25-NOV-98
361,"internet promotion #29-361",17700,28-DEC-00,28-JAN-01
318,"internet promotion #14-318",18500,12-MAY-00,12-JUN-00
370,"TV promotion #12-370",18700,08-NOV-98,08-JAN-99
273,"flyer promotion #23-273",18800,11-SEP-98,11-NOV-98
305,"newspaper promotion #19-305",19600,26-MAY-00,26-JUN-00
306,"newspaper promotion #19-306",19800,11-JUN-98,11-AUG-98
223,"radio promotion #31-223",20000,29-MAR-99,29-JUN-99
435,"internet promotion #14-435",20100,03-JUL-98,03-SEP-98
51,"flyer promotion #23-51",20200,12-MAR-99,12-JUN-99
394,"TV promotion #12-394",20600,09-APR-99,09-JUL-99
434,"TV promotion #12-434",20800,17-AUG-00,17-SEP-00
149,"post promotion #20-149",20900,06-DEC-00,06-JAN-01
267,"newspaper promotion #27-267",21000,25-OCT-99,25-JAN-00
334,"radio promotion #31-334",21200,18-DEC-00,18-JAN-01
125,"magazine promotion #15-125",21500,14-FEB-00,14-MAR-00
231,"magazine promotion #18-231",21700,13-FEB-00,13-MAR-00
396,"flyer promotion #23-396",21800,04-NOV-98,04-JAN-99
494,"newspaper promotion #16-494",22200,15-APR-99,15-JUL-99
277,"post promotion #21-277",22300,19-MAR-99,19-JUN-99
34,"newspaper promotion #19-34",22400,16-JUL-98,16-SEP-98
230,"newspaper promotion #19-230",22500,15-JAN-99,15-APR-99
101,"TV promotion #12-101",22600,17-AUG-00,17-SEP-00
411,"newspaper promotion #19-411",22800,21-MAY-00,21-JUN-00
339,"magazine promotion #18-339",23000,11-SEP-98,11-NOV-98
287,"newspaper promotion #19-287",23200,24-APR-99,24-JUL-99
441,"newspaper promotion #16-441",23400,23-DEC-00,23-JAN-01
476,"TV promotion #30-476",23600,19-MAR-99,19-JUN-99
506,"magazine promotion #18-506",23800,23-SEP-98,23-NOV-98
257,"newspaper promotion #19-257",23900,25-AUG-00,25-SEP-00
160,"TV promotion #12-160",24200,02-JUN-98,02-AUG-98
285,"flyer promotion #23-285",24700,12-FEB-00,12-MAR-00
102,"TV promotion #13-102",25200,05-NOV-98,05-JAN-99
475,"newspaper promotion #27-475",25400,22-NOV-98,22-JAN-99
357,"newspaper promotion #19-357",25500,26-AUG-00,26-SEP-00
198,"internet promotion #14-198",25700,31-MAY-00,30-JUN-00
477,"newspaper promotion #19-477",25900,21-MAY-00,21-JUN-00
294,"internet promotion #29-294",26100,09-OCT-99,09-JAN-00
467,"magazine promotion #18-467",26200,18-DEC-00,18-JAN-01
422,"magazine promotion #18-422",26400,01-NOV-98,01-JAN-99
93,"TV promotion #13-93",26800,02-JUN-98,02-AUG-98
242,"magazine promotion #26-242",26900,22-JUL-98,22-SEP-98
83,"newspaper promotion #19-83",27500,10-JUL-98,10-SEP-98
515,"newspaper promotion #19-515",27600,27-DEC-00,27-JAN-01
385,"post promotion #20-385",28000,12-MAY-00,12-JUN-00
397,"internet promotion #29-397",28200,15-MAR-99,15-JUN-99
346,"newspaper promotion #19-346",28300,30-APR-99,30-JUL-99
296,"post promotion #20-296",28600,04-JUL-98,04-SEP-98
62,"newspaper promotion #19-62",28700,04-AUG-00,04-SEP-00
427,"TV promotion #13-427",29400,09-OCT-99,09-JAN-00
110,"TV promotion #30-110",29600,19-JAN-99,19-APR-99
428,"magazine promotion #18-428",29700,28-DEC-00,28-JAN-01
290,"magazine promotion #26-290",29800,29-MAR-99,29-JUN-99
347,"magazine promotion #15-347",30000,05-OCT-99,05-JAN-00
286,"internet promotion #29-286",30100,20-SEP-98,20-NOV-98
344,"radio promotion #32-344",30200,21-MAY-00,21-JUN-00
175,"internet promotion #29-175",30300,23-DEC-00,23-JAN-01
225,"TV promotion #13-225",30500,14-MAY-00,14-JUN-00
250,"internet promotion #29-250",30700,27-MAR-99,27-JUN-99
310,"post promotion #21-310",31000,19-JAN-99,19-APR-99
240,"TV promotion #13-240",31100,16-OCT-99,16-JAN-00
95,"magazine promotion #18-95",31300,28-DEC-00,28-JAN-01
392,"post promotion #20-392",31500,14-FEB-00,14-MAR-00
498,"post promotion #21-498",31700,18-MAY-00,18-JUN-00
456,"newspaper promotion #16-456",31800,29-JAN-99,29-APR-99
148,"TV promotion #12-148",31900,05-OCT-99,05-JAN-00
516,"newspaper promotion #16-516",32000,12-JUL-98,12-SEP-98
220,"post promotion #21-220",32500,24-APR-99,24-JUL-99
443,"TV promotion #30-443",32600,19-JAN-99,19-APR-99
117,"magazine promotion #18-117",33300,27-MAR-99,27-JUN-99
38,"post promotion #20-38",33400,26-MAR-99,26-JUN-99
60,"post promotion #20-60",33600,09-SEP-98,09-NOV-98
431,"magazine promotion #26-431",33800,13-FEB-00,13-MAR-00
226,"TV promotion #13-226",33900,02-JUN-98,02-AUG-98
85,"newspaper promotion #19-85",34000,12-FEB-00,12-MAR-00
461,"internet promotion #29-461",34500,28-AUG-00,28-SEP-00
314,"flyer promotion #22-314",34600,05-APR-99,05-JUL-99
410,"internet promotion #29-410",34800,19-MAR-99,19-JUN-99
204,"TV promotion #13-204",35500,08-JAN-99,08-APR-99
129,"TV promotion #13-129",35700,04-NOV-98,04-JAN-99
39,"flyer promotion #23-39",35800,11-MAY-00,11-JUN-00
522,"magazine promotion #18-522",36000,14-NOV-98,14-JAN-99
378,"newspaper promotion #27-378",36100,21-FEB-00,21-MAR-00
63,"flyer promotion #23-63",36200,15-NOV-98,15-JAN-99
283,"TV promotion #12-283",36300,10-JUL-98,10-SEP-98
502,"internet promotion #29-502",36400,30-JUN-98,30-AUG-98
185,"post promotion #20-185",36500,12-MAY-00,12-JUN-00
399,"TV promotion #13-399",36700,13-JUN-98,13-AUG-98
131,"magazine promotion #26-131",36800,31-MAY-00,30-JUN-00
486,"flyer promotion #23-486",37200,01-JUN-98,01-AUG-98
142,"newspaper promotion #27-142",37300,22-NOV-98,22-JAN-99
284,"newspaper promotion #19-284",37700,27-JAN-99,27-APR-99
66,"TV promotion #13-66",37800,25-JUN-98,25-AUG-98
75,"post promotion #21-75",37900,23-AUG-00,23-SEP-00
235,"internet promotion #29-235",38200,09-NOV-98,09-JAN-99
243,"TV promotion #13-243",38500,19-JAN-99,19-APR-99
495,"TV promotion #13-495",38900,31-AUG-00,30-SEP-00
201,"post promotion #20-201",39100,18-DEC-00,18-JAN-01
524,"post promotion #17-524",39500,11-DEC-00,11-JAN-01
439,"TV promotion #13-439",39700,11-JUN-98,11-AUG-98
213,"newspaper promotion #19-213",39800,14-APR-99,14-JUL-99
462,"TV promotion #13-462",40000,04-NOV-98,04-JAN-99
214,"magazine promotion #18-214",40100,05-OCT-99,05-JAN-00
217,"TV promotion #13-217",40200,27-JAN-99,27-APR-99
292,"magazine promotion #26-292",40400,14-MAY-00,14-JUN-00
529,"magazine promotion #15-529",40500,31-JUL-98,30-SEP-98
380,"TV promotion #13-380",40700,16-MAR-99,16-JUN-99
531,"newspaper promotion #27-531",40900,25-FEB-00,25-MAR-00
141,"TV promotion #12-141",41000,23-AUG-00,23-SEP-00
424,"internet promotion #25-424",41300,21-DEC-00,21-JAN-01
138,"internet promotion #14-138",41400,26-FEB-00,26-MAR-00
114,"TV promotion #13-114",41500,05-APR-99,05-JUL-99
291,"radio promotion #32-291",56300,13-DEC-00,13-JAN-01
208,"flyer promotion #23-208",56600,23-AUG-00,23-SEP-00
190,"newspaper promotion #19-190",56700,29-JAN-99,29-APR-99
496,"TV promotion #13-496",56800,13-NOV-98,13-JAN-99
430,"flyer promotion #23-430",56900,15-JAN-99,15-APR-99
488,"newspaper promotion #19-488",57000,14-DEC-00,14-JAN-01
416,"newspaper promotion #19-416",57100,10-JUL-98,10-SEP-98
79,"newspaper promotion #19-79",57300,03-JUN-98,03-AUG-98
303,"TV promotion #13-303",57400,08-NOV-98,08-JAN-99
253,"newspaper promotion #27-253",57700,24-OCT-99,24-JAN-00
147,"post promotion #20-147",57800,12-OCT-99,12-JAN-00
275,"internet promotion #29-275",58100,23-AUG-00,23-SEP-00
433,"internet promotion #14-433",58300,18-APR-99,18-JUL-99
446,"post promotion #21-446",58400,05-JAN-99,05-APR-99
519,"TV promotion #30-519",58500,07-SEP-98,07-NOV-98
313,"post promotion #21-313",58600,18-JAN-99,18-APR-99
390,"internet promotion #25-390",58700,29-JAN-99,29-APR-99
191,"flyer promotion #23-191",58900,01-FEB-00,01-MAR-00
54,"TV promotion #13-54",59000,07-OCT-99,07-JAN-00
351,"TV promotion #13-351",59200,12-FEB-00,12-MAR-00
120,"magazine promotion #18-120",59300,24-OCT-99,24-JAN-00
77,"internet promotion #29-77",59700,19-MAR-99,19-JUN-99
128,"internet promotion #29-128",59800,28-AUG-00,28-SEP-00
317,"magazine promotion #18-317",60100,27-MAR-99,27-JUN-99
340,"TV promotion #13-340",60300,16-APR-99,16-JUL-99
415,"TV promotion #13-415",60600,06-DEC-00,06-JAN-01
463,"TV promotion #30-463",61000,15-MAR-99,15-JUN-99
490,"TV promotion #12-490",61300,09-JAN-99,09-APR-99
265,"newspaper promotion #16-265",61500,31-MAY-00,30-JUN-00
35,"TV promotion #12-35",61600,30-NOV-98,30-JAN-99
489,"internet promotion #14-489",61700,02-JUL-98,02-SEP-98
450,"magazine promotion #18-450",61900,27-MAR-99,27-JUN-99
262,"newspaper promotion #19-262",62100,28-AUG-00,28-SEP-00
478,"TV promotion #13-478",62200,03-JUN-98,03-AUG-98
241,"TV promotion #30-241",62300,23-DEC-00,23-JAN-01
247,"flyer promotion #24-247",62500,05-APR-99,05-JUL-99
336,"TV promotion #13-336",62600,17-JUL-98,17-SEP-98
44,"internet promotion #29-44",62800,21-JAN-99,21-APR-99
420,"internet promotion #14-420",62900,24-APR-99,24-JUL-99
246,"magazine promotion #26-246",63300,28-MAR-99,28-JUN-99
239,"internet promotion #29-239",63400,11-JUN-98,11-AUG-98
53,"internet promotion #29-53",63500,24-JUN-98,24-AUG-98
388,"post promotion #21-388",63800,07-DEC-00,07-JAN-01
503,"TV promotion #13-503",63900,26-JUL-98,26-SEP-98
255,"newspaper promotion #19-255",64000,01-JUL-98,01-SEP-98
454,"post promotion #20-454",64300,07-DEC-00,07-JAN-01
459,"newspaper promotion #19-459",65000,02-SEP-98,02-NOV-98
189,"newspaper promotion #19-189",65300,01-JUL-98,01-SEP-98
45,"newspaper promotion #27-45",65500,03-FEB-00,03-MAR-00
513,"newspaper promotion #27-513",65600,26-OCT-99,26-JAN-00
484,"magazine promotion #18-484",65700,24-MAR-99,24-JUN-99
510,"post promotion #20-510",65800,03-MAR-99,03-JUN-99
276,"TV promotion #13-276",65900,22-NOV-98,22-JAN-99
499,"TV promotion #30-499",66000,17-JUN-98,17-AUG-98
151,"newspaper promotion #19-151",66200,27-JAN-99,27-APR-99
472,"internet promotion #29-472",66500,11-SEP-98,11-NOV-98
358,"flyer promotion #24-358",66600,14-MAY-00,14-JUN-00
468,"post promotion #20-468",66700,10-SEP-98,10-NOV-98
278,"radio promotion #32-278",66800,21-MAY-00,21-JUN-00
300,"newspaper promotion #19-300",67200,18-APR-99,18-JUL-99
485,"internet promotion #14-485",67400,07-MAY-00,07-JUN-00
222,"internet promotion #29-222",67700,01-NOV-98,01-JAN-99
464,"magazine promotion #26-464",67800,31-MAY-00,30-JUN-00
315,"TV promotion #13-315",67900,06-AUG-00,06-SEP-00
326,"flyer promotion #22-326",68000,02-SEP-98,02-NOV-98
249,"internet promotion #14-249",68100,10-NOV-98,10-JAN-99
302,"post promotion #20-302",68200,25-JUL-98,25-SEP-98
137,"flyer promotion #23-137",68500,08-JAN-99,08-APR-99
42,"TV promotion #13-42",68600,22-DEC-00,22-JAN-01
389,"radio promotion #32-389",41800,01-JUL-98,01-SEP-98
112,"radio promotion #31-112",42100,03-SEP-98,03-NOV-98
386,"internet promotion #29-386",42700,20-JUN-98,20-AUG-98
419,"internet promotion #25-419",42900,20-SEP-98,20-NOV-98
365,"TV promotion #30-365",43000,25-SEP-98,25-NOV-98
372,"flyer promotion #23-372",43300,26-MAY-00,26-JUN-00
470,"flyer promotion #23-470",43400,08-JAN-99,08-APR-99
480,"flyer promotion #22-480",43700,27-APR-99,27-JUL-99
234,"newspaper promotion #16-234",44400,17-AUG-00,17-SEP-00
81,"TV promotion #13-81",44500,05-OCT-99,05-JAN-00
414,"TV promotion #13-414",44700,05-OCT-99,05-JAN-00
177,"TV promotion #13-177",44800,19-JAN-99,19-APR-99
68,"magazine promotion #26-68",44900,17-DEC-00,17-JAN-01
469,"flyer promotion #24-469",45000,17-JUL-98,17-SEP-98
342,"magazine promotion #18-342",45200,22-NOV-98,22-JAN-99
466,"magazine promotion #18-466",45300,25-OCT-99,25-JAN-00
126,"newspaper promotion #19-126",45400,02-SEP-98,02-NOV-98
382,"TV promotion #12-382",45500,06-AUG-00,06-SEP-00
244,"magazine promotion #18-244",46100,21-FEB-00,21-MAR-00
432,"newspaper promotion #19-432",46500,25-SEP-98,25-NOV-98
182,"internet promotion #29-182",46700,06-AUG-00,06-SEP-00
146,"flyer promotion #23-146",47100,13-APR-99,13-JUL-99
312,"post promotion #20-312",47500,03-SEP-98,03-NOV-98
245,"magazine promotion #18-245",47600,03-SEP-98,03-NOV-98
170,"post promotion #20-170",47800,08-NOV-98,08-JAN-99
465,"TV promotion #13-465",47900,13-JUN-98,13-AUG-98
139,"internet promotion #29-139",48000,11-SEP-98,11-NOV-98
107,"TV promotion #13-107",48100,16-OCT-99,16-JAN-00
400,"internet promotion #29-400",48400,25-OCT-99,25-JAN-00
154,"newspaper promotion #16-154",48500,24-APR-99,24-JUL-99
457,"magazine promotion #18-457",48700,06-FEB-00,06-MAR-00
517,"internet promotion #29-517",48800,20-JAN-99,20-APR-99
164,"internet promotion #29-164",49100,15-JAN-99,15-APR-99
103,"magazine promotion #18-103",49600,08-NOV-98,08-JAN-99
364,"newspaper promotion #27-364",49700,13-FEB-00,13-MAR-00
162,"flyer promotion #23-162",50100,28-DEC-00,28-JAN-01
500,"internet promotion #29-500",50200,08-OCT-99,08-JAN-00
184,"radio promotion #32-184",50400,27-MAR-99,27-JUN-99
492,"magazine promotion #18-492",50600,28-FEB-00,28-MAR-00
355,"magazine promotion #18-355",50900,01-NOV-98,01-JAN-99
209,"magazine promotion #26-209",51000,22-NOV-98,22-JAN-99
345,"newspaper promotion #16-345",51100,03-JUN-98,03-AUG-98
437,"flyer promotion #22-437",51400,30-MAR-99,30-JUN-99
369,"TV promotion #13-369",51500,11-NOV-98,11-JAN-99
41,"newspaper promotion #27-41",51600,23-OCT-99,23-JAN-00
374,"newspaper promotion #27-374",51700,16-OCT-99,16-JAN-00
436,"magazine promotion #18-436",51900,08-NOV-98,08-JAN-99
512,"newspaper promotion #16-512",52000,06-JUN-98,06-AUG-98
261,"flyer promotion #23-261",52300,09-APR-99,09-JUL-99
67,"internet promotion #29-67",52600,18-OCT-99,18-JAN-00
173,"newspaper promotion #19-173",52700,11-JUN-98,11-AUG-98
526,"flyer promotion #23-526",53200,28-JUN-98,28-AUG-98
167,"radio promotion #32-167",53500,18-APR-99,18-JUL-99
333,"internet promotion #29-333",53600,25-OCT-99,25-JAN-00
163,"post promotion #20-163",53700,04-JUL-98,04-SEP-98
405,"internet promotion #29-405",53900,26-FEB-00,26-MAR-00
145,"TV promotion #13-145",54000,03-JUN-98,03-AUG-98
127,"newspaper promotion #16-127",54100,09-APR-99,09-JUL-99
187,"newspaper promotion #16-187",54300,24-OCT-99,24-JAN-00
391,"newspaper promotion #19-391",54500,23-MAY-00,23-JUN-00
56,"radio promotion #32-56",54600,29-JUL-98,29-SEP-98
474,"TV promotion #12-474",54700,23-AUG-00,23-SEP-00
523,"magazine promotion #18-523",54900,02-MAR-99,02-JUN-99
323,"TV promotion #12-323",55000,29-JAN-99,29-APR-99
377,"internet promotion #29-377",55100,19-JAN-99,19-APR-99
254,"TV promotion #30-254",55200,07-DEC-00,07-JAN-01
96,"internet promotion #14-96",55300,04-JUL-98,04-SEP-98
109,"post promotion #21-109",55800,22-JUL-98,22-SEP-98
113,"post promotion #21-113",68700,06-MAR-99,06-JUN-99
159,"newspaper promotion #19-159",68800,14-MAY-00,14-JUN-00
43,"newspaper promotion #16-43",69300,19-JUL-98,19-SEP-98
360,"internet promotion #14-360",69500,09-OCT-99,09-JAN-00
504,"TV promotion #13-504",69700,11-JAN-99,11-APR-99
280,"internet promotion #29-280",70000,31-OCT-99,31-JAN-00
352,"TV promotion #30-352",70100,20-SEP-98,20-NOV-98
200,"magazine promotion #18-200",70300,25-OCT-99,25-JAN-00
402,"newspaper promotion #19-402",70500,22-JUN-98,22-AUG-98
442,"post promotion #21-442",71000,22-JUL-98,22-SEP-98
371,"post promotion #20-371",71400,30-MAR-99,30-JUN-99
279,"internet promotion #25-279",71600,03-JUN-98,03-AUG-98
293,"internet promotion #29-293",71700,02-JUN-98,02-AUG-98
144,"newspaper promotion #19-144",71800,21-MAY-00,21-JUN-00
179,"magazine promotion #26-179",71900,03-SEP-98,03-NOV-98
263,"newspaper promotion #27-263",72000,04-NOV-98,04-JAN-99
130,"TV promotion #30-130",72100,15-MAR-99,15-JUN-99
304,"TV promotion #13-304",72400,30-MAR-99,30-JUN-99
311,"magazine promotion #18-311",72500,21-FEB-00,21-MAR-00
174,"flyer promotion #23-174",72800,16-OCT-99,16-JAN-00
423,"post promotion #20-423",73000,29-MAR-99,29-JUN-99
228,"magazine promotion #18-228",73100,28-DEC-00,28-JAN-01
140,"magazine promotion #15-140",73200,16-APR-99,16-JUL-99
505,"post promotion #20-505",73500,16-FEB-00,16-MAR-00
373,"newspaper promotion #19-373",73600,11-JUN-98,11-AUG-98
194,"newspaper promotion #19-194",73700,09-APR-99,09-JUL-99
80,"post promotion #20-80",73800,21-APR-99,21-JUL-99
460,"newspaper promotion #16-460",73900,09-APR-99,09-JUL-99
72,"internet promotion #29-72",74200,26-FEB-00,26-MAR-00
341,"newspaper promotion #19-341",74300,23-AUG-00,23-SEP-00
227,"post promotion #20-227",74400,09-OCT-99,09-JAN-00
384,"flyer promotion #23-384",74600,27-MAR-99,27-JUN-99
328,"TV promotion #13-328",74900,28-AUG-00,28-SEP-00
356,"magazine promotion #18-356",75100,29-MAR-99,29-JUN-99
123,"newspaper promotion #16-123",75300,29-JAN-99,29-APR-99
307,"newspaper promotion #19-307",75600,16-OCT-99,16-JAN-00
316,"TV promotion #13-316",75800,10-NOV-98,10-JAN-99
115,"TV promotion #13-115",75900,06-AUG-00,06-SEP-00
105,"newspaper promotion #16-105",76000,26-MAY-00,26-JUN-00
418,"newspaper promotion #19-418",76100,12-FEB-00,12-MAR-00
132,"TV promotion #13-132",76300,13-JUN-98,13-AUG-98
197,"internet promotion #25-197",76400,15-MAR-99,15-JUN-99
332,"TV promotion #30-332",76500,13-JUN-98,13-AUG-98
520,"magazine promotion #26-520",76600,01-APR-99,01-JUL-99
491,"newspaper promotion #16-491",76800,08-MAY-00,08-JUN-00
453,"magazine promotion #18-453",76900,24-OCT-99,24-JAN-00
33,"post promotion #20-33",77200,15-SEP-98,15-NOV-98
165,"TV promotion #13-165",77400,13-FEB-00,13-MAR-00
135,"internet promotion #25-135",77600,27-JUN-98,27-AUG-98
236,"magazine promotion #15-236",77800,08-NOV-98,08-JAN-99
136,"flyer promotion #24-136",78000,17-JUL-98,17-SEP-98
440,"TV promotion #13-440",78200,16-OCT-99,16-JAN-00
169,"TV promotion #12-169",78800,24-JUL-98,24-SEP-98
192,"TV promotion #13-192",78900,14-FEB-00,14-MAR-00
176,"newspaper promotion #19-176",79000,22-JUL-98,22-SEP-98
514,"magazine promotion #15-514",79300,10-OCT-99,10-JAN-00
533,"newspaper promotion #19-533",79500,17-APR-99,17-JUL-99
195,"newspaper promotion #19-195",79600,28-AUG-00,28-SEP-00
150,"flyer promotion #23-150",79800,10-JUL-98,10-SEP-98
452,"newspaper promotion #19-452",80200,20-JUN-98,20-AUG-98
455,"radio promotion #32-455",80400,01-JUL-98,01-SEP-98
76,"newspaper promotion #16-76",80500,22-NOV-98,22-JAN-99
99,"newspaper promotion #19-99",80600,25-SEP-98,25-NOV-98
270,"newspaper promotion #19-270",81000,17-JUL-98,17-SEP-98
525,"flyer promotion #24-525",81200,09-MAY-00,09-JUN-00
211,"internet promotion #14-211",81400,21-MAY-00,21-JUN-00
521,"TV promotion #13-521",81500,29-AUG-00,29-SEP-00
501,"radio promotion #31-501",81600,30-DEC-00,30-JAN-01
507,"TV promotion #13-507",81700,22-APR-99,22-JUL-99
272,"internet promotion #25-272",81800,26-FEB-00,26-MAR-00
181,"magazine promotion #26-181",81900,05-APR-99,05-JUL-99
383,"internet promotion #25-383",82000,10-NOV-98,10-JAN-99
301,"newspaper promotion #19-301",82300,17-AUG-00,17-SEP-00
445,"radio promotion #31-445",82500,03-SEP-98,03-NOV-98
216,"newspaper promotion #16-216",82600,10-JUL-98,10-SEP-98
248,"flyer promotion #23-248",82700,06-AUG-00,06-SEP-00
379,"post promotion #17-379",82800,03-SEP-98,03-NOV-98
338,"post promotion #20-338",82900,26-FEB-00,26-MAR-00
354,"TV promotion #13-354",83000,07-AUG-00,07-SEP-00
158,"post promotion #20-158",83100,20-DEC-00,20-JAN-01
534,"TV promotion #13-534",83400,08-AUG-00,08-SEP-00
233,"radio promotion #32-233",83700,18-APR-99,18-JUL-99
401,"magazine promotion #26-401",83900,18-DEC-00,18-JAN-01
376,"newspaper promotion #16-376",84100,22-JUL-98,22-SEP-98
353,"magazine promotion #26-353",84200,24-APR-99,24-JUL-99
482,"TV promotion #13-482",84300,12-AUG-00,12-SEP-00
74,"post promotion #20-74",84400,16-APR-99,16-JUL-99
